"","epochs","hidden","hidden_dropout_ratios","input_dropout_ratio","l1","l2","stopping_tolerance","model_ids","logloss"
"98","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.04","dl_grid_model_45","0.0915706490435922"
"99","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-6","1.0E-6","0.02","dl_grid_model_91","0.09251592835758596"
"100","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-7","1.0E-8","0.04","dl_grid_model_117","0.09264223018128662"
"101","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.2","1.0E-6","1.0E-7","0.03","dl_grid_model_4","0.0926980431390113"
"102","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.1","1.0E-7","1.0E-7","0.03","dl_grid_model_1","0.09381863286306652"
"103","2004.6914348559217","[25, 3]","[0.4, 0.4]","0.15","1.0E-7","1.0E-8","0.03","dl_grid_model_101","0.09440900711858541"
"104","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.2","1.0E-7","1.0E-6","0.02","dl_grid_model_111","0.09456118592678348"
"105","2004.6914348559217","[30, 3]","[0.3, 0.3]","0.1","1.0E-8","1.0E-6","0.04","dl_grid_model_127","0.09582510135199454"
"106","3004.6736420766733","[25, 3]","[0.3, 0.3]","0.15","1.0E-7","1.0E-6","0.03","dl_grid_model_41","0.09654393929491083"
"107","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.2","1.0E-8","1.0E-8","0.03","dl_grid_model_86","0.09842416756352458"
"108","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.1","1.0E-8","1.0E-6","0.02","dl_grid_model_72","0.09978847166796448"
"109","2004.6914348559217","[25, 3]","[0.3, 0.3]","0.1","1.0E-7","1.0E-6","0.02","dl_grid_model_30","0.10157832864894992"
"110","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-8","0.02","dl_grid_model_71","0.10206082414929182"
"111","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-6","0.04","dl_grid_model_68","0.1027461291345982"
"112","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.1","1.0E-7","1.0E-6","0.03","dl_grid_model_123","0.10323195257863377"
"113","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.15","1.0E-7","1.0E-6","0.02","dl_grid_model_19","0.10498997487339634"
"114","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.1","1.0E-8","1.0E-6","0.04","dl_grid_model_67","0.10544495911224612"
"115","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-6","1.0E-8","0.02","dl_grid_model_102","0.10556127998246549"
"116","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-7","0.02","dl_grid_model_78","0.10598088957823595"
"117","2004.6914348559217","[25, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-7","0.02","dl_grid_model_51","0.10712527987201868"
"118","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.1","1.0E-7","1.0E-8","0.03","dl_grid_model_99","0.10723952270548893"
"119","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.15","1.0E-8","1.0E-7","0.04","dl_grid_model_121","0.10836305807070098"
"120","3004.6736420766733","[30, 3]","[0.3, 0.3]","0.1","1.0E-6","1.0E-7","0.02","dl_grid_model_21","0.11098888572301886"
"121","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.1","1.0E-7","1.0E-7","0.04","dl_grid_model_6","0.11320447406894238"
"122","3004.6736420766733","[25, 3]","[0.4, 0.4]","0.1","1.0E-6","1.0E-8","0.02","dl_grid_model_69","0.1138206309860018"
"123","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.15","1.0E-6","1.0E-6","0.04","dl_grid_model_93","0.12195783729751627"
"124","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.15","1.0E-7","1.0E-6","0.02","dl_grid_model_33","0.12368506777849139"
"125","2004.6914348559217","[25, 3]","[0.4, 0.4]","0.1","1.0E-8","1.0E-8","0.02","dl_grid_model_25","0.1557541359504418"
"126","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.2","1.0E-8","1.0E-7","0.04","dl_grid_model_59","0.16104120400060049"
"127","2004.6914348559217","[25, 3]","[0.4, 0.4]","0.2","1.0E-8","1.0E-8","0.03","dl_grid_model_55","0.16805789797726664"
"128","3004.6736420766733","[30, 3]","[0.4, 0.4]","0.1","1.0E-7","1.0E-8","0.03","dl_grid_model_37","0.16900844773806092"
"129","2004.6914348559217","[30, 3]","[0.4, 0.4]","0.1","1.0E-8","1.0E-7","0.03","dl_grid_model_80","0.20597173418137982"
